file,layer,format,rows,columns,column_names,data_types,missing_values,exact_duplicate_records,unique_destinations,geographic_coverage,source_status,use_decision,reason
india_tourism_official_2024.csv,Official Tourism,CSV,36,13,data_year | region | state_ut | domestic_visits_2023_million | foreign_visits_2023_million | domestic_visits_2024_million | foreign_visits_2024_million | domestic_growth_2024_percent | foreign_growth_2024_percent | domestic_share_2024_percent | foreign_share_2024_percent | source | unit,data_year:int64; region:str; state_ut:str; domestic_visits_2023_million:float64; foreign_visits_2023_million:float64; domestic_visits_2024_million:float64; foreign_visits_2024_million:float64; domestic_growth_2024_percent:float64; foreign_growth_2024_percent:float64; domestic_share_2024_percent:float64; foreign_share_2024_percent:float64; source:str; unit:str,data_year:0; region:0; state_ut:0; domestic_visits_2023_million:0; foreign_visits_2023_million:0; domestic_visits_2024_million:0; foreign_visits_2024_million:0; domestic_growth_2024_percent:0; foreign_growth_2024_percent:0; domestic_share_2024_percent:0; foreign_share_2024_percent:0; source:0; unit:0,0,Not Applicable,region; state_ut,Embedded official source,MUST USE,Official Ministry of Tourism state/UT statistics; retain at state/UT granularity.
asi_monuments_clean.csv,Processed,CSV,144,8,circle | name_of_the_monument | domestic_2019_20 | foreign_2019_20 | domestic_2020_21 | foreign_2020_21 | growth_2021_21_2019_20_domestic | growth_2021_21_2019_20_foreign,circle:str; name_of_the_monument:str; domestic_2019_20:int64; foreign_2019_20:int64; domestic_2020_21:int64; foreign_2020_21:int64; growth_2021_21_2019_20_domestic:float64; growth_2021_21_2019_20_foreign:float64,circle:0; name_of_the_monument:0; domestic_2019_20:0; foreign_2019_20:0; domestic_2020_21:0; foreign_2020_21:0; growth_2021_21_2019_20_domestic:1; growth_2021_21_2019_20_foreign:2,0,144,None,Source metadata not supplied,TRANSFORM,Useful monument visitors table; source metadata and citations must be added.
bharatverse_monuments.csv,Processed,CSV,144,9,monument_name | city | state | latitude | longitude | domestic_visits | foreign_visits | historical_popularity | heritage_category,monument_name:str; city:str; state:str; latitude:float64; longitude:float64; domestic_visits:int64; foreign_visits:int64; historical_popularity:str; heritage_category:str,monument_name:0; city:0; state:0; latitude:0; longitude:0; domestic_visits:0; foreign_visits:0; historical_popularity:0; heritage_category:0,0,144,city; state; latitude; longitude,Source metadata not supplied,TRANSFORM,Useful coordinates/categories enrichment; field-level provenance is missing.
tourism_arrivals_region.csv,Raw,CSV,230,8,Sl. No. | Country/Territory | Arrivals (In Numbers) | North (In Percentage) | South (In Percentage) | West and Central (In Percentage) | East (In Percentage) | North East (In Percentage),Sl. No.:str; Country/Territory:str; Arrivals (In Numbers):int64; North (In Percentage):float64; South (In Percentage):float64; West and Central (In Percentage):float64; East (In Percentage):float64; North East (In Percentage):float64,Sl. No.:0; Country/Territory:0; Arrivals (In Numbers):0; North (In Percentage):0; South (In Percentage):0; West and Central (In Percentage):0; East (In Percentage):0; North East (In Percentage):0,0,Not Applicable,None,Source metadata not supplied,REFERENCE,Country/region arrivals; not destination-level and has no provenance metadata.
accessibility_data.csv,Final,CSV,144,15,destination_id | destination_name | senior_friendly | wheelchair_accessible | walking_difficulty | stairs_present | accessible_toilets | seating_available | parking_available | accessible_transport | accessibility_notes | accessibility_source | accessibility_source_url | accessibility_year | accessibility_confidence,destination_id:str; destination_name:str; senior_friendly:float64; wheelchair_accessible:float64; walking_difficulty:str; stairs_present:float64; accessible_toilets:float64; seating_available:float64; parking_available:float64; accessible_transport:float64; accessibility_notes:str; accessibility_source:str; accessibility_source_url:str; accessibility_year:str; accessibility_confidence:str,destination_id:0; destination_name:0; senior_friendly:144; wheelchair_accessible:144; walking_difficulty:0; stairs_present:144; accessible_toilets:144; seating_available:144; parking_available:144; accessible_transport:144; accessibility_notes:0; accessibility_source:0; accessibility_source_url:0; accessibility_year:0; accessibility_confidence:0,0,144,None,Source metadata not supplied,USE,Application-facing normalized or governance dataset.
data_quality_report.csv,Final,CSV,5,19,report_scope | source_file | file_type | rows | columns | column_names | data_types | missing_values | duplicate_records | inconsistent_values | naming_conventions | geographic_information | tourism_recommendation_information | accessibility_information | women_safety_information | source_provenance | classification | classification_reason | status,report_scope:str; source_file:str; file_type:str; rows:int64; columns:int64; column_names:str; data_types:str; missing_values:str; duplicate_records:str; inconsistent_values:str; naming_conventions:str; geographic_information:str; tourism_recommendation_information:str; accessibility_information:str; women_safety_information:str; source_provenance:str; classification:str; classification_reason:str; status:str,report_scope:0; source_file:0; file_type:0; rows:0; columns:0; column_names:0; data_types:0; missing_values:0; duplicate_records:0; inconsistent_values:0; naming_conventions:0; geographic_information:0; tourism_recommendation_information:0; accessibility_information:0; women_safety_information:0; source_provenance:0; classification:0; classification_reason:0; status:0,0,Not Applicable,None,Source metadata not supplied,USE,Application-facing normalized or governance dataset.
destination_schema.json,Final,JSON,Not Applicable,48,destination_id | name | alternative_names | city | district | state | country | latitude | longitude | destination_type | heritage_category | description | historical_significance | cultural_significance | best_time_to_visit | recommended_duration | estimated_budget | budget_category | crowd_level | hidden_gem_score | tourism_popularity | visitor_count | domestic_visitors | international_visitors | accessibility_score | senior_friendly | wheelchair_accessible | walking_difficulty | public_transport_available | nearest_transport | nearest_hospital | nearest_police_station | network_availability | lighting_condition | women_safety_score | women_safety_notes | emergency_support | nearby_safe_stay | sanitary_facilities | local_artisan_presence | local_crafts | local_food | cultural_experiences | responsible_tourism_notes | source | source_url | source_year | data_confidence,JSON Schema,Not Applicable,Not Applicable,Not Applicable,Schema validation,Generated governance artifact,USE,Validates expected master fields and score constraints.
duplicate_review.csv,Final,CSV,2,5,original_name | possible_duplicate | reason | confidence | recommended_action,original_name:str; possible_duplicate:str; reason:str; confidence:str; recommended_action:str,original_name:0; possible_duplicate:0; reason:0; confidence:0; recommended_action:0,0,Not Applicable,None,Source metadata not supplied,USE,Application-facing normalized or governance dataset.
master_destinations.csv,Final,CSV,144,48,destination_id | name | alternative_names | city | district | state | country | latitude | longitude | destination_type | heritage_category | description | historical_significance | cultural_significance | best_time_to_visit | recommended_duration | estimated_budget | budget_category | crowd_level | hidden_gem_score | tourism_popularity | visitor_count | domestic_visitors | international_visitors | accessibility_score | senior_friendly | wheelchair_accessible | walking_difficulty | public_transport_available | nearest_transport | nearest_hospital | nearest_police_station | network_availability | lighting_condition | women_safety_score | women_safety_notes | emergency_support | nearby_safe_stay | sanitary_facilities | local_artisan_presence | local_crafts | local_food | cultural_experiences | responsible_tourism_notes | source | source_url | source_year | data_confidence,destination_id:str; name:str; alternative_names:float64; city:str; district:str; state:str; country:str; latitude:float64; longitude:float64; destination_type:str; heritage_category:str; description:str; historical_significance:str; cultural_significance:str; best_time_to_visit:str; recommended_duration:str; estimated_budget:str; budget_category:str; crowd_level:str; hidden_gem_score:float64; tourism_popularity:str; visitor_count:int64; domestic_visitors:int64; international_visitors:int64; accessibility_score:float64; senior_friendly:float64; wheelchair_accessible:float64; walking_difficulty:str; public_transport_available:float64; nearest_transport:str; nearest_hospital:str; nearest_police_station:str; network_availability:str; lighting_condition:str; women_safety_score:float64; women_safety_notes:str; emergency_support:str; nearby_safe_stay:str; sanitary_facilities:str; local_artisan_presence:float64; local_crafts:str; local_food:str; cultural_experiences:str; responsible_tourism_notes:str; source:str; source_url:str; source_year:int64; data_confidence:str,destination_id:0; name:0; alternative_names:144; city:0; district:0; state:0; country:0; latitude:0; longitude:0; destination_type:0; heritage_category:0; description:0; historical_significance:0; cultural_significance:0; best_time_to_visit:0; recommended_duration:0; estimated_budget:0; budget_category:0; crowd_level:0; hidden_gem_score:144; tourism_popularity:0; visitor_count:0; domestic_visitors:0; international_visitors:0; accessibility_score:144; senior_friendly:144; wheelchair_accessible:144; walking_difficulty:0; public_transport_available:144; nearest_transport:0; nearest_hospital:0; nearest_police_station:0; network_availability:0; lighting_condition:0; women_safety_score:144; women_safety_notes:0; emergency_support:0; nearby_safe_stay:0; sanitary_facilities:0; local_artisan_presence:144; local_crafts:0; local_food:0; cultural_experiences:0; responsible_tourism_notes:0; source:0; source_url:0; source_year:0; data_confidence:0,0,144,city; district; state; latitude; longitude,Source metadata not supplied,USE,Application-facing normalized or governance dataset.
recommendation_features.csv,Final,CSV,144,24,destination_id | destination_type | heritage_category | state | budget_category | crowd_level | visit_duration | tourism_popularity | hidden_gem_score | cultural_interest | history_interest | architecture_interest | nature_interest | spirituality_interest | art_craft_interest | accessibility_score | women_safety_score | transport_availability | feature_source | feature_confidence | content_based_suitability | collaborative_filtering_suitability | hybrid_suitability | future_ml_suitability,destination_id:str; destination_type:str; heritage_category:str; state:str; budget_category:str; crowd_level:str; visit_duration:str; tourism_popularity:str; hidden_gem_score:float64; cultural_interest:float64; history_interest:float64; architecture_interest:float64; nature_interest:float64; spirituality_interest:float64; art_craft_interest:float64; accessibility_score:float64; women_safety_score:float64; transport_availability:str; feature_source:str; feature_confidence:str; content_based_suitability:str; collaborative_filtering_suitability:str; hybrid_suitability:str; future_ml_suitability:str,destination_id:0; destination_type:0; heritage_category:0; state:0; budget_category:0; crowd_level:0; visit_duration:0; tourism_popularity:0; hidden_gem_score:144; cultural_interest:144; history_interest:144; architecture_interest:144; nature_interest:144; spirituality_interest:144; art_craft_interest:144; accessibility_score:144; women_safety_score:144; transport_availability:0; feature_source:0; feature_confidence:0; content_based_suitability:0; collaborative_filtering_suitability:0; hybrid_suitability:0; future_ml_suitability:0,0,Not Applicable,state,Source metadata not supplied,USE,Application-facing normalized or governance dataset.
