file,format,rows_or_pages,columns,useful_columns_preview,layer,contains,source_quality,decision,reason
Dataset/Data/Final/accessibility_data.csv,CSV,144,15,destination_id | destination_name | senior_friendly | wheelchair_accessible | walking_difficulty | stairs_present | accessible_toilets | seating_available | parking_available | accessible_transport | accessibility_notes | accessibility_source,FINAL SAFETY/ACCESS,144 rows of safety/accessibility attributes,Previous generated package,REVIEW/REBUILD,Keep as draft governance evidence; unsupported values must remain unavailable/UNVERIFIED.
Dataset/Data/Final/dataset_audit.csv,CSV,13,14,file | layer | format | rows | columns | column_names | data_types | missing_values | exact_duplicate_records | unique_destinations | geographic_coverage | source_status,FINAL AUDIT/GOVERNANCE,Audit/schema/mapping artifact,Generated governance artifact,KEEP/REVIEW,Useful governance artifacts; update after the new foundation is rebuilt.
Dataset/Data/Final/data_quality_report.csv,CSV,5,19,report_scope | source_file | file_type | rows | columns | column_names | data_types | missing_values | duplicate_records | inconsistent_values | naming_conventions | geographic_information,FINAL AUDIT/GOVERNANCE,Audit/schema/mapping artifact,Generated governance artifact,KEEP/REVIEW,Useful governance artifacts; update after the new foundation is rebuilt.
Dataset/Data/Final/destination_provenance.csv,CSV,576,8,destination_id | field_name | source | source_type | source_url | source_date | verification_status | confidence,FINAL GOVERNANCE,576 field-level provenance rows,Previous generated package,REVIEW/REBUILD,Useful provenance starting point; schema needs source_reference/value alignment and validation.
Dataset/Data/Final/destination_quality.csv,CSV,823,6,destination_id | destination_name | severity | issue_category | recommended_action | status,FINAL GOVERNANCE,823 destination quality issue rows,Previous generated package,REVIEW/REBUILD,"Issue log, not a compact quality score table; retain as audit evidence but regenerate required schema."
Dataset/Data/Final/destination_schema.json,JSON,N/A,5,$schema | title | description | required | properties,FINAL AUDIT/GOVERNANCE,Audit/schema/mapping artifact,Generated governance artifact,KEEP/REVIEW,Useful governance artifacts; update after the new foundation is rebuilt.
Dataset/Data/Final/duplicate_review.csv,CSV,2,5,original_name | possible_duplicate | reason | confidence | recommended_action,FINAL AUDIT/GOVERNANCE,Audit/schema/mapping artifact,Generated governance artifact,KEEP/REVIEW,Useful governance artifacts; update after the new foundation is rebuilt.
Dataset/Data/Final/feature_dictionary.csv,CSV,16,7,feature_name | data_type | source | derived_or_original | calculation_method | missing_value_strategy | recommendation_use,FINAL AUDIT/GOVERNANCE,Audit/schema/mapping artifact,Generated governance artifact,KEEP/REVIEW,Useful governance artifacts; update after the new foundation is rebuilt.
Dataset/Data/Final/frontend_field_mapping.csv,CSV,16,4,places_js_field | recommended_data_field | current_dataset_status | integration_rule,FINAL AUDIT/GOVERNANCE,Audit/schema/mapping artifact,Generated governance artifact,KEEP/REVIEW,Useful governance artifacts; update after the new foundation is rebuilt.
Dataset/Data/Final/heritage_integration_report.csv,CSV,144,9,destination_id | destination_name | asi_monuments_clean_match | bharatverse_monuments_match | cpm_pdf_match | cpm_pdf_page | fuzzy_matching_used | integration_decision | manual_review_reason,FINAL AUDIT/GOVERNANCE,Audit/schema/mapping artifact,Generated governance artifact,KEEP/REVIEW,Useful governance artifacts; update after the new foundation is rebuilt.
