name,short_description,description,category,criteria,inscribed_year,country,image,coordinates,components,component_count,heritage_source
Ancient Buddhist Site of Sarnath,"The serial property contains the architectural and archaeological remains of Sarnath, the sacred site where the Buddha is believed to have delivered his first sermon in the 6th century BCE and met his earliest disciples. Identified by the Buddha himself as one of the four principal Buddhist pilgrimage sites, Sarnath grew over many centuries through royal, monastic, and lay patronage, resulting in the construction of numerous stupas, temples, and viharas. After flourishing as a major Buddhist centre, Sarnath declined in the 12th century CE and fell into obscurity until its rediscovery in the 18th century. Today preserved as two archaeological zones, it remains both an important tourist destination and a revived pilgrimage site for Buddhists worldwide.","The serial property contains the architectural and archaeological remains of Sarnath, the sacred site where the Buddha is believed to have delivered his first sermon in the 6th century BCE and met his earliest disciples. Identified by the Buddha himself as one of the four principal Buddhist pilgrimage sites, Sarnath grew over many centuries through royal, monastic, and lay patronage, resulting in the construction of numerous stupas, temples, and viharas. After flourishing as a major Buddhist centre, Sarnath declined in the 12th century CE and fell into obscurity until its rediscovery in the 18th century. Today preserved as two archaeological zones, it remains both an important tourist destination and a revived pilgrimage site for Buddhists worldwide.",Cultural,(iii),2026,India,https://whc.unesco.org/document/220772,,"{name: Chaukandi Stupa, ref: 927-001, latitude: 25.3741666667, longitude: 83.0236111111}, {name: Archaelogical Remains of Sarnath, ref: 927-002, latitude: 25.3808333334, longitude: 83.0244444445}",2,UNESCO World Heritage
Maratha Military Landscapes of India,"The property includes twelve major fortifications, mostly in Maharashtra State, with one in Tamil Nadu. These forts, such as Raigad, Shivneri, and Sindhudurg, were built, adapted, or expanded by the Marathas between the late 17th and early 19th centuries. Strategically located on coastal and mountainous terrain, they formed a complex defence system supporting Maratha military dominance, trade protection, and territorial control. This network played a key role in the Marathas’ rise as a major political and military force.","The property includes twelve major fortifications, mostly in Maharashtra State, with one in Tamil Nadu. These forts, such as Raigad, Shivneri, and Sindhudurg, were built, adapted, or expanded by the Marathas between the late 17th and early 19th centuries. Strategically located on coastal and mountainous terrain, they formed a complex defence system supporting Maratha military dominance, trade protection, and territorial control. This network played a key role in the Marathas’ rise as a major political and military force.",Cultural,(iv),2025,India,https://whc.unesco.org/document/219733,"20.7225, 73.9425","{name: Raigad, ref: 1739-005, latitude: 18.2361111111, longitude: 73.4444444444}, {name: Rajgad, ref: 1739-006, latitude: 18.2461111111, longitude: 73.6825}, {name: Lohagad, ref: 1739-003, latitude: 18.71, longitude: 73.4766666667}, {name: Pratapgad, ref: 1739-007, latitude: 17.9358333333, longitude: 73.5786111111}, {name: Vijaydurg, ref: 1739-010, latitude: 16.5608333333, longitude: 73.3333333333}, {name: Sindhudurg, ref: 1739-011, latitude: 16.0425, longitude: 73.4597222222}, {name: Salher Fort, ref: 1739-001, latitude: 20.7225, longitude: 73.9425}, {name: Suvarnadurg, ref: 1739-008, latitude: 17.8163888889, longitude: 73.0844444444}, {name: Gingee Fort, ref: 1739-012, latitude: 12.2505555556, longitude: 79.4013888889}, {name: Panhala Fort, ref: 1739-009, latitude: 16.8111111111, longitude: 74.1080555556}, {name: Shivneri Fort, ref: 1739-002, latitude: 19.1966666666, longitude: 73.8583333333}, {name: Khanderi Fort, ref: 1739-004, latitude: 18.7038888889, longitude: 72.8133333333}",12,UNESCO World Heritage
Moidams – the Mound-Burial System of the Ahom Dynasty,"Set in the foothills of the Patkai Ranges in eastern Assam, the property contains the royal necropolis of the Tai-Ahom. For 600 years, the Tai-Ahom created moidams (burial mounds) accentuating the natural topography of hills, forests and water, thus forming a sacred geography. Banyan trees and the trees used for coffins and bark manuscripts were planted and water bodies created. Ninety moidams – hollow vaults built of brick, stone or earth – of different sizes are found within the site. They contain the remains of kings and other royals together with grave goods such as food, horses and elephants, and sometimes queens and servants. The Tai-Ahom rituals of “Me-Dam-Me-Phi” and “Tarpan” are practiced at the Charaideo necropolis. While moidams are found in other areas within the Brahmaputra Valley, those found at the property are regarded as exceptional.","Set in the foothills of the Patkai Ranges in eastern Assam, the property contains the royal necropolis of the Tai-Ahom. For 600 years, the Tai-Ahom created moidams (burial mounds) accentuating the natural topography of hills, forests and water, thus forming a sacred geography. Banyan trees and the trees used for coffins and bark manuscripts were planted and water bodies created. Ninety moidams – hollow vaults built of brick, stone or earth – of different sizes are found within the site. They contain the remains of kings and other royals together with grave goods such as food, horses and elephants, and sometimes queens and servants. The Tai-Ahom rituals of “Me-Dam-Me-Phi” and “Tarpan” are practiced at the Charaideo necropolis. While moidams are found in other areas within the Brahmaputra Valley, those found at the property are regarded as exceptional.",Cultural,(iii)(iv),2024,India,https://whc.unesco.org/document/206874,"26.9411747222, 94.87635","{name: Moidams – the Mound-Burial System of the Ahom Dynasty, ref: 1711, latitude: 26.9411747222, longitude: 94.87635}",1,UNESCO World Heritage
Santiniketan,"Established in rural West Bengal in 1901 by the renowned poet and philosopher Rabindranath Tagore, Santiniketan was a residential school and centre for art based on ancient Indian traditions and a vision of the unity of humanity transcending religious and cultural boundaries. A ‘world university’ was established at Santiniketan in 1921, recognizing the unity of humanity or “Visva Bharati”. Distinct from the prevailing British colonial architectural orientations of the early 20th century and of European modernism, Santiniketan represents approaches toward a pan-Asian modernity, drawing on ancient, medieval and folk traditions from across the region.","Established in rural West Bengal in 1901 by the renowned poet and philosopher Rabindranath Tagore, Santiniketan was a residential school and centre for art based on ancient Indian traditions and a vision of the unity of humanity transcending religious and cultural boundaries. A ‘world university’ was established at Santiniketan in 1921, recognizing the unity of humanity or “Visva Bharati”. Distinct from the prevailing British colonial architectural orientations of the early 20th century and of European modernism, Santiniketan represents approaches toward a pan-Asian modernity, drawing on ancient, medieval and folk traditions from across the region.",Cultural,(iv),2023,India,https://whc.unesco.org/document/197758,"23.6802777778, 87.6849722222","{name: Santiniketan, ref: 1375, latitude: 23.6802777778, longitude: 87.6849722222}",1,UNESCO World Heritage
Sacred Ensembles of the Hoysalas,"This serial property encompasses the three most representative examples of Hoysala-style temple complexes in southern India, dating from the 12th to 13th centuries. The Hoysala style was created through careful selection of contemporary temple features and those from the past to create a different identity from neighbouring kingdoms. The shrines are characterized by hyper-real sculptures and stone carvings that cover the entire architectural surface, a circumambulatory platform, a large-scale sculptural gallery, a multi-tiered frieze, and sculptures of the Sala legend. The excellence of the sculptural art underpins the artistic achievement of these temple complexes, which represent a significant stage in the historical development of Hindu temple architecture.","This serial property encompasses the three most representative examples of Hoysala-style temple complexes in southern India, dating from the 12th to 13th centuries. The Hoysala style was created through careful selection of contemporary temple features and those from the past to create a different identity from neighbouring kingdoms. The shrines are characterized by hyper-real sculptures and stone carvings that cover the entire architectural surface, a circumambulatory platform, a large-scale sculptural gallery, a multi-tiered frieze, and sculptures of the Sala legend. The excellence of the sculptural art underpins the artistic achievement of these temple complexes, which represent a significant stage in the historical development of Hindu temple architecture.",Cultural,(i)(ii)(iv),2023,India,https://whc.unesco.org/document/192197,"13.2124527778, 75.9940722222","{name: Keshava Temple, ref: 1670-003, latitude: 12.2759694445, longitude: 76.8817916667}, {name: Hoysalesvara Temple, ref: 1670-002, latitude: 13.2124527778, longitude: 75.9940722222}, {name: Channakeshava Temple, ref: 1670-001, latitude: 13.1628472222, longitude: 75.8604055556}",3,UNESCO World Heritage
Dholavira: a Harappan City,"The ancient city of Dholavira, the southern centre of the Harappan Civilization, is sited on the arid island of Khadir in the State of Gujarat. Occupied between ca. 3000-1500 BCE, the archaeological site, one of the best preserved urban settlements from the period in Southeast Asia, comprises a fortified city and a cemetery. Two seasonal streams provided water, a scarce resource in the region, to the walled city which comprises a heavily fortified castle and ceremonial ground as well as streets and houses of different proportion quality which testify to a stratified social order. A sophisticated water management system demonstrates the ingenuity of the Dholavira people in their struggle to survive and thrive in a harsh environment. The site includes a large cemetery with cenotaphs of six types testifying to the Harappan’s unique view of death. Bead processing workshops and artifacts of various kinds such as copper, shell, stone, jewellery of semi-precious stones, terracotta, gold, ivory and other materials have been found during archaeological excavations of the site, exhibiting the culture’s artistic and technological achievements. Evidence for inter-regional trade with other Harappan cities, as well as with cities in the Mesopotamia region and the Oman peninsula have also been discovered.","The ancient city of Dholavira, the southern centre of the Harappan Civilization, is sited on the arid island of Khadir in the State of Gujarat. Occupied between ca. 3000-1500 BCE, the archaeological site, one of the best preserved urban settlements from the period in Southeast Asia, comprises a fortified city and a cemetery. Two seasonal streams provided water, a scarce resource in the region, to the walled city which comprises a heavily fortified castle and ceremonial ground as well as streets and houses of different proportion quality which testify to a stratified social order. A sophisticated water management system demonstrates the ingenuity of the Dholavira people in their struggle to survive and thrive in a harsh environment. The site includes a large cemetery with cenotaphs of six types testifying to the Harappan’s unique view of death. Bead processing workshops and artifacts of various kinds such as copper, shell, stone, jewellery of semi-precious stones, terracotta, gold, ivory and other materials have been found during archaeological excavations of the site, exhibiting the culture’s artistic and technological achievements. Evidence for inter-regional trade with other Harappan cities, as well as with cities in the Mesopotamia region and the Oman peninsula have also been discovered.",Cultural,(iii)(iv),2021,India,https://whc.unesco.org/document/181368,"23.8884083333, 70.2133027778","{name: Dholavira: a Harappan City, ref: 1645, latitude: 23.8884083333, longitude: 70.2133027778}",1,UNESCO World Heritage
"Kakatiya Rudreshwara (Ramappa) Temple, Telangana","Rudreshwara, popularly known as Ramappa Temple, is located in the village of Palampet approximately 200km north-east of Hyderabad, in the State of Telangana. It is the main Shiva temple in a walled complex built during the Kakatiyan period (1123–1323 CE) under rulers Rudradeva and Recharla Rudra. Construction of the sandstone temple began in 1213 CE and is believed to have continued over some 40 years. The building features decorated beams and pillars of carved granite and dolerite with a distinctive and pyramidal Vimana (horizontally stepped tower) made of lightweight porous bricks, so-called ‘floating bricks’, which reduced the weight of the roof structures. The temple’s sculptures of high artistic quality illustrate regional dance customs and Kakatiyan culture. Located at the foothills of a forested area and amidst agricultural fields, close to the shores of the Ramappa Cheruvu, a Kakatiya-built water reservoir, the choice of setting for the edifice followed the ideology and practice sanctioned in dharmic texts that temples are to be constructed to form an integral part of a natural setting, including hills, forests, springs, streams, lakes, catchment areas, and agricultural lands.","Rudreshwara, popularly known as Ramappa Temple, is located in the village of Palampet approximately 200km north-east of Hyderabad, in the State of Telangana. It is the main Shiva temple in a walled complex built during the Kakatiyan period (1123–1323 CE) under rulers Rudradeva and Recharla Rudra. Construction of the sandstone temple began in 1213 CE and is believed to have continued over some 40 years. The building features decorated beams and pillars of carved granite and dolerite with a distinctive and pyramidal Vimana (horizontally stepped tower) made of lightweight porous bricks, so-called ‘floating bricks’, which reduced the weight of the roof structures. The temple’s sculptures of high artistic quality illustrate regional dance customs and Kakatiyan culture. Located at the foothills of a forested area and amidst agricultural fields, close to the shores of the Ramappa Cheruvu, a Kakatiya-built water reservoir, the choice of setting for the edifice followed the ideology and practice sanctioned in dharmic texts that temples are to be constructed to form an integral part of a natural setting, including hills, forests, springs, streams, lakes, catchment areas, and agricultural lands.",Cultural,(i)(iii),2021,India,https://whc.unesco.org/document/182794,"18.2591333333, 79.9432055556","{name: Kakatiya Rudreshwara (Ramappa) Temple, Telangana, ref: 1570bis, latitude: 18.2591333333, longitude: 79.9432055556}",1,UNESCO World Heritage
"Jaipur City, Rajasthan","The walled city of Jaipur, in India’s north-western state of Rajasthan was founded in 1727 by Sawai Jai Singh II. Unlike other cities in the region located in hilly terrain, Jaipur was established on the plain and built according to a grid plan interpreted in the light of Vedic architecture. The streets feature continuous colonnaded businesses that intersect in the centre, creating large public squares called chaupars. Markets, shops, residences and temples built along the main streets have uniform facades. The city's urban planning shows an exchange of ideas from ancient Hindu and early modern Mughal as well as Western cultures. The grid plan is a model that prevails in the West, while the organization of the different city sectors (chowkris) refers to traditional Hindu concepts. Designed to be a commercial capital, the city has maintained its local commercial, artisanal and cooperative traditions to this day.","The walled city of Jaipur, in India’s north-western state of Rajasthan was founded in 1727 by Sawai Jai Singh II. Unlike other cities in the region located in hilly terrain, Jaipur was established on the plain and built according to a grid plan interpreted in the light of Vedic architecture. The streets feature continuous colonnaded businesses that intersect in the centre, creating large public squares called chaupars. Markets, shops, residences and temples built along the main streets have uniform facades. The city's urban planning shows an exchange of ideas from ancient Hindu and early modern Mughal as well as Western cultures. The grid plan is a model that prevails in the West, while the organization of the different city sectors (chowkris) refers to traditional Hindu concepts. Designed to be a commercial capital, the city has maintained its local commercial, artisanal and cooperative traditions to this day.",Cultural,(ii)(iv),2019,India,https://whc.unesco.org/document/173407,"26.9242777778, 75.8218611111","{name: Jaipur City, Rajasthan, ref: 1605, latitude: 26.9242777778, longitude: 75.8218611111}",1,UNESCO World Heritage
Victorian Gothic and Art Deco Ensembles of Mumbai,"Having become a global trading centre, the city of Mumbai implemented an ambitious urban planning project in the second half of the 19th century. It led to the construction of ensembles of public buildings bordering the Oval Maidan open space, first in the Victorian Neo-Gothic style and then, in the early 20th century, in the Art Deco idiom. The Victorian ensemble includes Indian elements suited to the climate, including balconies and verandas. The Art Deco edifices, with their cinemas and residential buildings, blend Indian design with Art Deco imagery, creating a unique style that has been described as Indo-Deco. These two ensembles bear testimony to the phases of modernization that Mumbai has undergone in the course of the 19th and 20th centuries.","Having become a global trading centre, the city of Mumbai implemented an ambitious urban planning project in the second half of the 19th century. It led to the construction of ensembles of public buildings bordering the Oval Maidan open space, first in the Victorian Neo-Gothic style and then, in the early 20th century, in the Art Deco idiom. The Victorian ensemble includes Indian elements suited to the climate, including balconies and verandas. The Art Deco edifices, with their cinemas and residential buildings, blend Indian design with Art Deco imagery, creating a unique style that has been described as Indo-Deco. These two ensembles bear testimony to the phases of modernization that Mumbai has undergone in the course of the 19th and 20th centuries.",Cultural,(ii)(iv),2018,India,https://whc.unesco.org/document/203839,"18.9298055556, 72.8300833333","{name: Victorian Gothic and Art Deco Ensembles of Mumbai, ref: 1480, latitude: 18.9298055556, longitude: 72.8300833333}",1,UNESCO World Heritage
Historic City of Ahmadabad,"The walled city of Ahmadabad, founded by Sultan Ahmad Shah in the 15th century, on the eastern bank of the Sabarmati river, presents a rich architectural heritage from the sultanate period, notably the Bhadra citadel, the walls and gates of the Fort city and numerous mosques and tombs as well as important Hindu and Jain temples of later periods. The urban fabric is made up of densely-packed traditional houses (pols) in gated traditional streets (puras) with characteristic features such as bird feeders, public wells and religious institutions. The city continued to flourish as the capital of the State of Gujarat for six centuries, up to the present.","The walled city of Ahmadabad, founded by Sultan Ahmad Shah in the 15th century, on the eastern bank of the Sabarmati river, presents a rich architectural heritage from the sultanate period, notably the Bhadra citadel, the walls and gates of the Fort city and numerous mosques and tombs as well as important Hindu and Jain temples of later periods. The urban fabric is made up of densely-packed traditional houses (pols) in gated traditional streets (puras) with characteristic features such as bird feeders, public wells and religious institutions. The city continued to flourish as the capital of the State of Gujarat for six centuries, up to the present.",Cultural,(ii)(v),2017,India,https://whc.unesco.org/document/158905,"23.0263888889, 72.5880555556","{name: Historic City of Ahmadabad, ref: 1551, latitude: 23.0263888889, longitude: 72.5880555556}",1,UNESCO World Heritage
