destination_id,destination_name,asi_monuments_clean_match,bharatverse_monuments_match,cpm_pdf_match,cpm_pdf_page,fuzzy_matching_used,integration_decision,manual_review_reason
BV-ASI-0001,Aga  Khan Palace Building,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,61,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0002,Agra Fort,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,108,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0003,Ahom Raja's Palace,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0004,Ajanta Caves,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,58,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0005,Akbar Tomb Sikandra,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0006,Amaravati mahastupa,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0007,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0008,Ancient Buddhist Site known as Chaukhandi stupa,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,134,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0009,Ancient Palace Leh,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0010,Ancient Remains on both Udaigiri & Khandagiri Hills,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0011,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0012,Ancient Site Bhangarh,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,86,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0013,"Ancient site of Vaishali, Kolhua",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0014,Ancient Site of Vikramshila Antichak,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0015,"Asokan Rock Edict, Jungadh",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0016,Aurangabad Caves,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,58,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0017,"Avantiswamin Temple, Avantipur, District Pulwama",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0018,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0019,"Badal Mahal Gatwway, Chanderi",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0020,Baori at Abhaneri,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0021,"Bekal Fort, Pallikkare, Distt. Kasargod",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0022,Bellary Fort,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0023,Bir Singh Palace Datia,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,51,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0024,Bishnudol,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,11,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0025,Bishnupur Temples,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0026,"Buddhish Caves, Junagadh",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0027,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0028,Buddhist Caves,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,51,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0029,Buddhist Caves Kanheri,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0030,"Buddhist Monuments, Sanchi",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,53,No,MERGED: exact normalized match between the two processed monument CSVs.,None
BV-ASI-0031,"Buddhist Remains on hill top at Guntupalli, W.G.District",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0032,Caves 1 t0 20 Udaygiri Vidisha,EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
BV-ASI-0033,"Caves, Temples and inscriptions Karla",EXACT_NORMALIZED_NAME,EXACT_NORMALIZED_NAME,REQUIRES_MANUAL_VERIFICATION,Not Available,No,MERGED: exact normalized match between the two processed monument CSVs.,Verify ASI PDF listing / name variant.
