hidden_heritage_rank,monument_name,circle,total_visitors_2019_20,tourism_hiddenness_score,unesco_match_flag,asi_protection_score,hidden_heritage_score_v2,heritage_signal,recommendation_reason
1,Ancient Buddhist Site known as Chaukhandi stupa,Sarnath,60330,58.46,1,100.0,75.15,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand
2,"Champaner Monuments, Pavagadh",Vadodara,61350,58.31,1,100.0,75.07,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand
3,Sultanghari Tomb,Delhi,536,100.0,0,100.0,72.0,ASI protected,High heritage protection with comparatively low visitor demand
4,Metcelf-Hall,Kolkata,632,98.55,0,100.0,71.2,ASI protected,High heritage protection with comparatively low visitor demand
5,Durga temple complex Aihole,Dharwad,190616,48.34,1,100.0,69.59,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand
6,Jantar Mantar,Delhi,209713,47.5,1,100.0,69.12,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand
7,"Gupta Temple & Varah Temple, Deogarh",Jhansi,1380,91.69,0,100.0,68.43,ASI protected,High heritage protection with comparatively low visitor demand
8,"Buddhist Monuments, Sanchi",Bhopal,254692,45.79,1,100.0,68.18,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand
9,Group of Monuments (WH) Pattadakal,Dharwad,266454,45.39,1,100.0,67.96,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand
10,"Western Group of Temples, Khajuraho",Jabalpur,286736,44.74,1,100.0,67.61,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand
11,Ajanta Caves,Aurangabad,289243,44.67,1,100.0,67.57,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand
12,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",Nagpur,1661,90.06,0,100.0,67.53,ASI protected,High heritage protection with comparatively low visitor demand
13,Khan-I-Khana,Delhi,1827,89.22,0,100.0,66.07,ASI protected,High heritage protection with comparatively low visitor demand
14,"Group of Monuments, Hampi",Hampi,614244,38.04,1,100.0,63.92,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand
15,Fatehpur Sikri,Agra,639127,37.69,1,100.0,63.73,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand
16,Elephanta Caves,Mumbai,724753,36.59,1,100.0,63.12,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand
17,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",Rajkot,6000,78.76,0,100.0,61.32,ASI protected,High heritage protection with comparatively low visitor demand
18,"Palace Complex at Ramnagar, Distt. Udhampur",Srinagar,6610,77.91,0,100.0,60.85,ASI protected,High heritage protection with comparatively low visitor demand
19,Tomb of Lal Khan,Sarnath,6828,77.63,0,100.0,60.7,ASI protected,High heritage protection with comparatively low visitor demand
20,"Group of Temples at kiramchi, District Udhampur",Srinagar,5735,79.16,0,100.0,60.54,ASI protected,High heritage protection with comparatively low visitor demand
21,Ellora Caves,Aurangabad,1280687,31.58,1,100.0,60.37,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand
22,"Asokan Rock Edict, Jungadh",Rajkot,6344,78.27,0,100.0,60.05,ASI protected,High heritage protection with comparatively low visitor demand
23,Amaravati mahastupa,Amaravati,8323,75.89,0,100.0,59.74,ASI protected,High heritage protection with comparatively low visitor demand
24,"Avantiswamin Temple, Avantipur, District Pulwama",Srinagar,9971,74.3,0,100.0,58.86,ASI protected,High heritage protection with comparatively low visitor demand
25,Agra Fort,Agra,2013676,27.6,1,100.0,58.18,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand
26,"Temples & Sculpture Shed, lakkumdi",Dharwad,13110,71.89,0,100.0,57.54,ASI protected,High heritage protection with comparatively low visitor demand
27,"Badal Mahal Gatwway, Chanderi",Bhopal,13797,71.44,0,100.0,57.29,ASI protected,High heritage protection with comparatively low visitor demand
28,Rani Lakshmi Bai Mahal,Jhansi,16004,70.13,0,100.0,56.57,ASI protected,High heritage protection with comparatively low visitor demand
29,Rajarani Temple,Bhubaneswar,17422,69.39,0,100.0,56.16,ASI protected,High heritage protection with comparatively low visitor demand
30,Lord Cornwallis Tomb,Sarnath,18403,68.9,0,100.0,55.9,ASI protected,High heritage protection with comparatively low visitor demand
